name,maker,expirationDate,type
"HOMOSALATE, OCTINOXATE, PADIMATE O, OXYBENZONE",Aruba Aloe Balm NV,2018/11/14,dog
Oxygen,"Pacific Island Medical, Inc.",2020/03/30,hamster
GLYCERIN,"AMI Cosmetic Co.,Ltd.",2018/07/19,lizard
Divalproex Sodium,Cadila Healthcare Limited,2017/10/31,hamster
Phentermine Hydrochloride,Keltman Pharmaceuticals Inc.,2018/05/18,dog
OXYGEN,"Spectrum Gas Products, Inc",2020/04/06,lizard
"phenylephrine hcl, brompheniramine maleate",American Sales Company,2018/10/28,hamster
Atorvastatin Calcium,"Physicians Total Care, Inc.",2019/09/30,snake
Chlorpheniramine Maleate,Advance Pharmaceutical Inc.,2017/12/31,lizard
Naproxen,Rebel Distributors Corp,2017/09/15,cat
SALICYLIC ACID,Wal-Mart Stores Inc,2016/12/02,lizard
Periodontium Quartz Special Order,Uriel Pharmacy Inc.,2017/10/06,snake
Octinoxate,BCM Cosmetique SAS,2019/04/30,hamster
Calcium carbonate,Major Pharmaceuticals,2017/02/15,lizard
Nicotine Polacrilex,Sam's West Inc,2019/08/24,cat
warfarin sodium,REMEDYREPACK INC.,2017/09/14,hamster
"Titanium Dioxide, Zinc Oxide, and Octinoxate",Ventura International LTD.,2019/08/07,cat
SODIUM CHLORIDE,B. Braun Medical Inc.,2020/02/28,cat
lisinopril,Mylan Institutional Inc.,2017/02/25,cat
Minoxidil,REMEDYREPACK INC.,2020/03/28,cat
CANDIDA PARAPSILOSIS,Sanum Kehlbeck GmbH & Co. KG,2018/04/19,cat
Alcohol,Ecolab Inc.,2017/11/07,dog
Pyrithione Zinc,Conopco Inc. d/b/a Unilever,2017/04/26,bird
"Acetaminophen, guaifenesin, phenylephrine HCl","Dolgencorp, LLC",2020/03/13,hamster
olmesartan medoxomil,Cardinal Health,2017/07/22,snake
fexofenadine hcl,7-Eleven,2018/03/28,dog
telmisartan and amlodipine,Mylan Pharmaceuticals Inc.,2019/07/24,lizard
Hydrocortisone Acetate,"New World Imports, Inc",2017/07/07,bird
Aluminum Chlorohydrate,Industrias Lavin de Mexico S.A. de C.V.,2017/09/25,snake
nifedipine,Mylan Pharmaceuticals Inc.,2017/05/04,bird
"DROSERA, ARNICA MONTANA, BRYONIA, IPECACUANHA, CETRARIA ISLANDICA, BELLADONNA, COCCUS CACTI, CORRALLIUM RUBRUM, STANNUM METALLICUM",HOMEOLAB USA INC,2020/02/26,hamster
"Acetaminophen, Dextromethorphan Hydrobromide, Doxylamine Succinate","Premier Value (Chain Drug Consortium, LLC)",2017/05/23,bird
coagulation factor ix (recombinant),"Wyeth BioPharma Division of Wyeth Pharmaceuticals Inc., a subsidiary of Pfizer Inc.",2017/01/18,hamster
hydroxyzine pamoate,"PD-Rx Pharmaceuticals, Inc.",2018/07/06,snake
Octinoxate and Octocrylene and Oxybenzone and Octisalate and Meradimate and Titantium Dioxide,"Chattem, Inc.",2017/04/27,dog
Estradiol,Bayer HealthCare Pharmaceuticals Inc.,2019/08/03,cat
METFORMIN HYDROCHLORIDE,St Marys Medical Park Pharmacy,2018/01/27,dog
TRICLOSAN,Supervalu Inc,2018/05/02,lizard
Hydralazine Hydrochloride,REMEDYREPACK INC.,2017/04/01,dog
DOXYCYCLINE HYCLATE,Chartwell RX LLC,2019/02/08,cat
TRICLOSAN,BJWC,2018/10/05,hamster
ANTIMICROBIAL DRUG PRODUCT,Dermarite Industries LLC,2018/05/16,cat
"Acetaminophen, Aspirin, and Caffeine","Eagle Distributors,Inc.",2017/07/17,lizard
tolbutamide,Mylan Pharmaceuticals Inc.,2016/12/23,bird
cyclobenzaprine hydrochloride,Mylan Institutional Inc.,2019/08/08,cat
"Plantago Major, Arsenicum Album, Lung (Bovine), Symphytum Officinale, Silicea, Phellandrium Aquaticum, Phosphorus, Sulphur","BioActive Nutritional, Inc.",2016/12/20,dog
tizanidine hydrochloride,Mylan Pharmaceuticals Inc.,2019/08/24,cat
TRICLOSAN,AMERICAN SALES COMPANY,2019/04/25,snake
Iodine Bush,"Nelco Laboratories, Inc.",2017/02/22,snake
calcitonin salmon,Novartis Pharmaceuticals Corporation,2017/02/16,hamster
Fluticasone Propionate,"Glenmark Generics Inc., USA",2016/11/04,hamster
Quetiapine fumarate,REMEDYREPACK INC.,2017/01/28,lizard
Diltiazem Hydrochloride,Actavis Elizabeth LLC,2017/05/10,cat
UNDECYLENIC ACID,Blaine Labs Inc.,2017/07/06,snake
Clindamycin Hydrochloride,Mylan Institutional Inc.,2020/02/07,snake
DIGOXIN,"Caraco Pharmaceutical Laboratories, Ltd.",2017/03/15,snake
Lidocaine Hydrochloride,Unit Dose Services,2018/07/05,dog
ZINC OXIDE,Sesvalia USA LLC,2018/09/04,lizard
Azelastine Hydrochloride,Meda Pharmaceuticals Inc.,2016/12/05,bird
LIDOCAINE HYDROCHLORIDE and EPINEPHRINE,"Hospira, Inc.",2018/03/25,cat
Hydrocodone Bitartrate And Acetaminophen,American Health Packaging,2019/12/26,dog
SILICON DIOXIDE,Remedy Makers,2016/11/29,bird
Simethicone,"Gemini Pharmaceuticals, Inc. dba Plus Pharma",2016/12/11,hamster
salicylic acid,Genesis,2018/07/20,hamster
Miconazole nitrate,Target Corporation,2016/10/26,cat
Famotidine,Premier Value,2019/10/08,bird
Benzalkonium Chloride,"Deb USA, Inc.",2019/11/26,bird
"Acetaminophen, Caffeine",Amerisource Bergen,2019/07/15,cat
"Pyrogenium, Arsenicum alb.,Baptisia, Bryonia, Cinchona, Collinsonia, Iodium, Iris versicolor, Lachesis, Lycopodium, Nat. carb.,Nat.mur.,Nux vom., Phosphorus, Podoph. pelt., Pulsatilla, Rhus toxicodendron, Dioscorea, Echinacea, Urtica ur.","Newton Laboratories, Inc.",2018/01/02,bird
Dexmethylphenidate Hydrochloride,Teva Pharmaceuticals USA Inc,2018/09/21,dog
MORPHINE SULFATE,STAT RX USA LLC,2020/04/10,bird
Risperidone,Dr. Reddy's Laboratories Limited,2018/08/16,bird
Prednisone,"PD-Rx Pharmaceuticals, Inc.",2019/07/28,lizard
Meloxicam,Apotex Corp,2019/05/07,bird
Pravastatin Sodium,Cobalt Laboratories Inc.,2017/01/23,hamster
"BENZALKONIUM CHLORIDE, ASPIRIN, IBUPROFEN, ISOPROPYL ALCOHOL, BENZOCAINE, SD ALCOHOL, BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE, ACETAMINOPHEN, DIPHENHYDRAMINE CHLORIDE",Tender Corp dba Adventure Medical Kits,2019/04/26,snake
Isopropyl Alcohol,Walgreens,2019/11/05,dog
"Asterias rubens, Aur. met., Belladonna, Benzoicum acidum, Berber. vulg., Bryonia, Calc. carb., Cantharis, Ceanothus, Chelidonium majus, Chionanthus virginica, Cinchona, Dioscorea, Iris versicolor, Nat. carb., Nux vom., Ptelea, Carduus mar., Echinacea, Solidago, Taraxacum","Newton Laboratories, Inc.",2017/09/26,snake
"Baptisia tinctoria, Echinacea, Hydrastis canadensis, Arsenicum album, Bryonia, Chelidonium majus, Colchicum autumnale Kalmia latifolia,",Apotheca Company,2018/08/27,bird
Sulfamethoxazole and Trimethoprim,Aidarex Pharmaceuticals LLC,2020/02/14,bird
Clonazepam,REMEDYREPACK INC.,2019/11/02,cat
Diphenhydramine HCl,McKesson,2017/09/18,lizard
Senna Plus,Rebel Distributors Corp,2017/02/13,dog
Iris Versicolor Root and Bryonia Alba Root,American Health Distributions Inc.,2018/05/04,bird
"Benzocaine, Butamben, and Tetracaine Hydrochloride","Cetylite Industries, Inc.",2017/12/27,dog
tenecteplase,"Genentech, Inc.",2019/07/21,cat
Hydrocortisone,"Preferred Pharmaceuticals, Inc.",2017/01/23,hamster
Pear,"Nelco Laboratories, Inc.",2018/11/15,hamster
acetaminophen and codeine phosphate,"PD-Rx Pharmaceuticals, Inc.",2018/01/19,bird
Zolpidem Tartrate,Actavis Elizabeth LLC,2018/05/16,cat
Salmon,"Nelco Laboratories, Inc.",2017/07/26,hamster
Benzalkonium chloride,Colgate Palmolive Company,2018/12/09,hamster
kidney bean,"Allergy Laboratories, Inc.",2018/09/25,snake
FERRUM PHOSPHORICUM,HOMEOLAB USA INC,2019/02/26,hamster
Ampicillin sodium,Cardinal Health,2017/08/25,lizard
"Diphenhydramine HCl, Zinc Acetate",Cardinal Health,2020/05/17,snake
"Drosera 30C, Spongia 30C, Kali Carbonicum 30C, Phospherous 30C, Ipeacacuhuana 30C, Pulsatilla 30C, Belladonna 30C",Natures Investment Holdings Pty Ltd dba Maxrelief USA,2020/04/21,cat
OCTINOXATE,ESTEE LAUDER N.V.,2018/09/24,cat
tizanidine,Mylan Pharmaceuticals Inc.,2019/07/25,lizard
Triclosan,"Zhejiang Blue Dream Cosmetics Co., Ltd.",2019/06/24,hamster
cetirizine hydrochloride,"Unichem Pharmaceuticals (USA), Inc.",2017/01/30,dog
Western Juniper,"Nelco Laboratories, Inc.",2018/11/14,snake
CEFIXIME,"Lupin Pharmaceuticals, Inc.",2017/07/03,dog
Titanium Dioxide,"Bare Escentuals Beauty, Inc.",2017/03/28,bird
Lithium Carbonate,REMEDYREPACK INC.,2019/11/16,cat
OCTINOXATE and TITANIUM DIOXIDE,MAKEUP ART COSMETICS,2020/01/23,hamster
"Antimonium tartaricum, Calcarea carbonica, Cinchona officinalis, Mercurius solubilis, Mercurius vivus, Pilocarpus, Phosphoricum acidum, Sambucus nigra, Silicea and Sulphuricum acidum",King Bio Inc.,2016/11/14,bird
Glycerin,"AMI Cosmetic Co.,Ltd.",2020/02/04,lizard
PHOMA HERBARUM,"ALK-Abello, Inc.",2018/09/02,cat
Hydromorphone Hydrochloride,"Physicians Total Care, Inc.",2019/09/13,hamster
diphenhydramine hydrochloride,L Perrigo Company,2018/04/03,lizard
ixabepilone,"E.R. Squibb & Sons, L.L.C.",2020/01/12,dog
Alcohol,"Continental Manufacturing Chemist, Inc.",2018/06/18,hamster
fexofenadine hydrochloride,Kmart Corporation,2019/08/20,snake
Bismuth subsalicylate,Target Corporation,2018/01/23,hamster
"ARNICA MONTANA, BELLIS PERENNIS, HYPERICUM PERFORATUM, LEDUM PALUSTRE TWIG, and RUTA GRAVEOLENS FLOWERING TOP",Hyland's,2018/10/26,lizard
Lidocaine and Prilocaine,"Physicians Total Care, Inc.",2017/10/26,bird
Calcium carbonate,American Sales Company,2017/07/05,dog
Potassium Chloride,AbbVie Inc.,2018/09/20,snake
PREDNISOLONE,"Laser Pharmaceuticals, LLC",2020/05/03,lizard
"Homosalate, Meradimate, Octinoxate, Titanium Dioxide, and Zinc Oxide",Valeant Pharmaceuticals North America LLC,2018/07/28,lizard
Meclizine Hydrochloride,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,2018/11/19,snake
OCTINOXATE and TITANIUM DIOXIDE,CHANEL PARFUMS BEAUTE,2017/05/30,dog
warfarin sodium,"Physicians Total Care, Inc.",2018/07/30,snake
"DEXTROSE MONOHYDRATE, SODIUM CHLORIDE, POTASSIUM ACETATE, and MAGNESIUM ACETATE","Hospira, Inc.",2019/10/11,hamster
Quetiapine Fumarate,"Ascend Laboratories, LLC",2017/06/11,snake
Nicotine Polacrilex,Amerisource Bergen,2019/09/20,cat
nimodipine,Arbor Pharmaceuticals,2017/01/16,lizard
Fosinopril sodium,"Exelan Pharmaceuticals, Inc.",2017/03/13,dog
Morphine Sulfate,Bryant Ranch Prepack,2019/04/15,lizard
River Birch Red,"ALK-Abello, Inc.",2019/05/15,snake
"ASCORBIC ACID, RETINOL, ERGOCALCIFEROL, THIAMINE HYDROCHLORIDE, RIBOFLAVIN 5-PHOSPHATE SODIUM, PYRIDOXINE HYDROCHLORIDE, NIACINAMIDE, DEXPANTHENOL, .ALPHA.-TOCOPHEROL ACETATE, DL-, BIOTIN, FOLIC ACID, CYANOCOBALAMIN, and PHYTONADIONE","Hospira Worldwide, Inc.",2017/09/16,snake
Triclosan,"SJ Creations, Inc.",2017/09/01,cat
Buckwheat,"Antigen Laboratories, Inc.",2016/12/03,snake
Alcohol,"Enzyme Solutions, Inc.",2017/12/21,lizard
Alprazolam,KAISER FOUNDATION HOSPITALS,2020/05/10,dog
CLOSTRIDIUM TETANI TOXOID ANTIGEN (FORMALDEHYDE INACTIVATED),Sanofi Pasteur Inc.,2018/03/01,bird
Fexofenadine hydrochloride,"Physicians Total Care, Inc.",2019/10/12,snake
"Fucus Vesiculosus, Capsicum Annuum, Nicotinamidum, Spongia Tosta, L-Arginine, Croton Oil, L-Ornithine, Pituitaria Glandula (Suis)",BioActive Nutritional,2019/07/25,snake
Oxymetazoline Hydrochloride,Lee Pharmaceuticals,2016/12/22,dog
POTASSIUM CHLORIDE,"Hospira, Inc.",2018/06/19,hamster
ramipril,American Health Packaging,2020/02/03,dog
Human Immunoglobulin G,Baxter Healthcare Corporation,2020/04/13,dog
amlodipine besylate and atorvastatin calcium,"Physicians Total Care, Inc.",2019/08/07,snake
Camphor and Eucalyptus oil and Menthol,"Chattem, Inc.",2020/03/16,cat
Citalopram Hydrobromide,TYA Pharmaceuticals,2019/02/24,snake
Acetaminophen,"Henry Schein, Inc.",2019/06/10,cat
Simvastatin,Cadila Healthcare Limited,2017/07/24,hamster
ARNICA MONTANA,Whole Foods Market,2019/09/03,dog
"Spongia tosta, Iodium Fucus vesiculosus, Belladonna, Adenosine triphosphate, Parathyroid,",Apotheca Company,2017/03/09,bird
TITANIUM DIOXIDE,"Aloe Vera of America, Inc.",2020/04/20,bird
Trandolapril,"Physicians Total Care, Inc.",2017/02/17,snake
"Famotidine, Calcium Carbonate, Magnesium Hydroxide",Supervalu Inc,2017/09/24,bird
Nitroglycerin,Hercon Laboratories Corporation,2018/02/05,bird
Sweet Potato,"Nelco Laboratories, Inc.",2018/11/24,dog
Oxygen,"Quality Home Medical, Inc.",2018/04/14,cat
Not applicable,Restivo Chiropractic,2018/05/21,bird
bisacodyl,"Paddock Laboratories, LLC",2018/12/23,dog
nifedipine,State of Florida DOH Central Pharmacy,2020/02/04,cat
Cephalexin,"American Antibiotics, Inc",2017/06/04,cat
Naproxen Sodium,Western Family Foods Inc,2018/03/02,dog
"Octinoxate, Octisalate and Oxybenzone",Valeant Pharmaceuticals North America LLC,2017/03/27,snake
felbamate,Meda Pharmaceuticals Inc.,2017/12/13,dog
Metaxalone,"Physicians Total Care, Inc.",2017/03/04,snake
Torsemide,AvPAK,2019/01/10,snake
Tall Ragweed,"Nelco Laboratories, Inc.",2018/09/01,bird
"Ammonium carbonicum, Antimonium arsenicicum, Antimonium tartaricum, Arsenicum album, Bromium, Carbo vegetabilis, Chlorinum, Kali carbonicum, Lobelia inflata, Stannum metallicum, Sulphuricum acidum",King Bio Inc.,2018/06/19,bird
lisinopril,RedPharm Drug Inc.,2018/11/10,dog
Gemfibrozil,"Golden State Medical Supply, Inc.",2016/10/15,hamster
Olanzapine,"Dispensing Solutions, Inc.",2018/10/17,lizard
Lidocaine Hydrochloride,"Oak Pharmaceuticals, Inc. (Subsidiary of Akorn, Inc.)",2017/12/11,bird
telmisartan,Zydus Pharmaceuticals (USA) Inc.,2018/01/05,hamster
Hydrocortisone,"Preferred Pharmaceuticals, Inc.",2016/12/13,snake
Methimazole,REMEDYREPACK INC.,2019/02/05,lizard
OXYGEN,Air Liquide America L.P.,2019/10/11,lizard
Flomax,REMEDYREPACK INC.,2016/11/02,cat
Brazil Nut,"Nelco Laboratories, Inc.",2018/10/11,lizard
Metoprolol tartrate,REMEDYREPACK INC.,2018/12/21,lizard
sildenafil citrate,U.S. Pharmaceuticals,2017/08/01,snake
Temazepam,Actavis Elizabeth LLC,2020/01/10,hamster
Sertraline Hydrochloride,"International Labs, Inc.",2017/09/04,bird
Capsaicin,"Mueller Sports Medicine, Inc.",2016/11/18,lizard
"glycerin, hypromellose, polyethylene glycol 400",American Sales Company,2017/07/06,bird
Risperidone,Dr. Reddy's Laboratories Limited,2018/11/09,snake
"ESTROGENS, CONJUGATED","Wyeth Pharmaceuticals Inc., a subsidiary of Pfizer Inc.",2019/04/18,snake
amoxicillin and clavulanate potassium,Dr Reddys Laboratories Inc,2019/01/06,dog
"OCTINOXATE, OXYBENZONE","OPI Products, Inc",2017/12/06,dog
Ceftriaxone Sodium,Cardinal Health,2020/04/14,snake
toremifene citrate,"ProStrakan, Inc.",2017/09/03,hamster
panthenol,"Bonogen Co., Ltd",2019/05/20,lizard
Octinoxate and Oxybenzone,Ventura Corporation LTD.,2019/01/23,dog
TOPIRAMATE,Clinical Solutions Wholesale,2017/11/06,cat
Caffeine,NASH-FINCH COMPANY,2017/06/28,snake
acyclovir,American Health Packaging,2020/04/07,snake
DIPYRIDAMOLE,"Rising Pharmaceuticals, Inc.",2018/12/13,dog
clindamycin palmitate hydrochloride,Pharmacia and Upjohn Company,2020/04/16,dog
Menthol and Camphor (Synthetic),"Concept Laboratories, Inc.",2018/06/21,lizard
Verapamil Hydrochloride,Major Pharmaceuticals,2018/12/26,hamster
Desipramine Hydrochloride,Sandoz Inc,2017/09/22,lizard
ACETYLCYSTEINE,"Fresenius Kabi USA, LLC",2017/05/17,bird
oxybutynin chloride,"NCS HealthCare of KY, Inc dba Vangard Labs",2017/11/28,bird
Potassium Chloride,Zydus Pharmaceuticals USA Inc,2018/08/03,snake
Potassium Citrate,Zydus Pharmaceuticals (USA) Inc.,2019/08/26,hamster
"Chlorpheniramine Maleate, Codeine Phosphate","Magna Pharmaceuticals, Inc.",2019/01/30,cat
"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",STAT RX USA LLC,2018/01/08,hamster
"Aconitum napellus, Arsenicum album, Baptisia tinctoria, Bryonia, Causticum, Cinchona officinalis, Echinacea purpurea, Eucalyptus globulus, Eupatorium perfoliatum, Gelsemium sempervirens, Influenzinum, Phytolacca decandra, Rhus toxicodendron, Sarcolacticum acidum, Sulphur, Wyethia helenioides, Zincum aceticum, Zincum muriaticum, Zincum oxydatum",PharmWest Inc.,2018/06/06,lizard
HYDROXYZINE PAMOATE,State of Florida DOH Central Pharmacy,2018/08/13,snake
Alternaria alternata,"Nelco Laboratories, Inc.",2018/11/15,hamster
Octinoxate and Titanium Dioxide,L'Oreal USA Products Inc,2017/10/14,dog
Cefuroxime Axetil,Aurobindo Pharma Limited,2017/04/06,dog
"Avobenzone, Homosalate, Octisalate, Octocrylene, and Oxybenzone","MSD Consumer Care, Inc.",2019/04/10,bird
tizanidine,Mylan Pharmaceuticals Inc.,2017/11/10,snake
VENLAFAXINE,Direct Rx,2018/05/10,hamster
Prednisone,"Golden State Medical Supply, Inc.",2019/08/27,bird
Carduus Marianus e fruct. 30,Uriel Pharmacy Inc.,2020/04/19,cat
Enteric Aspirin,Cardinal Health,2017/04/07,bird
HYDROMORPHONE HYDROCHLORIDE,STAT Rx USA LLC,2019/10/24,lizard
Pramipexole dihydrochloride,"Glenmark Generics Inc., USA",2019/07/22,bird
Verapamil Hydrochloride,Kremers Urban Pharmaceuticals Inc.,2018/03/20,dog
lisinopril,Merck Sharp & Dohme Corp.,2020/04/13,dog
Ibuprofen,Wal-Mart Stores Inc,2019/09/11,cat
Diclofenac Sodium,Actavis Elizabeth LLC,2020/02/05,dog
Rhodotorula mucilaginosa,"Nelco Laboratories, Inc.",2018/06/09,cat
Dextroamphetamine Sulfate,Lineage Therapeutics,2019/07/29,cat
Aluminum Zirconium Trichlorohydrex Gly,Procter and Gamble Manufacturing Company,2018/12/12,bird
Octinoxate and Titanium Dioxide,Boots Retail USA Inc,2020/04/10,hamster
Pantoprazole Sodium,"Preferred Pharmaceuticals, Inc.",2017/06/26,bird
Acetaminophen,Target Corporation,2017/12/28,lizard
White Petrolatum,"Wal-Mart Stores, Inc",2018/11/15,bird
Sodium Sulfacetamide,Perrigo New York Inc,2018/12/02,snake
Grippe-HP,Apotheca Company,2019/08/26,bird
Penicillin V Potasium,Sandoz Inc,2019/07/05,hamster
"Carduus Marianus, Chelidonium Majus, Taraxacum Officinale, Chionanthus Virginica, Quassia Amara, Hepar Sulphuris Calcareum","BioActive Nutritional, Inc.",2017/07/23,bird
Sucralfate,"VistaPharm, Inc.",2020/05/24,bird
"Aloe, Arg. nit., Arsenicum alb., Belladonna, Benzoicum acidum, Bryonia, Cantharis, Causticum, Equisetum hyemale, Ferrum metallicum, Gelsemium, Ignatia, Kali phos., Lycopodium, Nat. mur., Nitricum ac., Plantago, Pulsatilla, Rhus aromatica, Sabal, Secale, Sepia, Staphysag., Stramonium, Thyroidinum, Verbascum, Echinacea, Hydrastis","Newton Laboratories, Inc.",2018/12/10,dog
Chlorpromazine Hydrochloride,"NCS HealthCare of KY, Inc dba Vangard Labs",2017/01/25,cat
benzocaine and menthol,Combe Incorporated,2017/06/15,bird
bexarotene,Valeant Pharmaceuticals North America LLC,2017/07/13,lizard
METHADONE HYDROCHLORIDE,"Mallinckrodt, Inc.",2017/04/09,snake
Titanium Dioxide,SOBAEK INSAM FARMING COOPERATIVE CORPORATION,2019/10/31,snake
Finasteride,Cardinal Health,2019/07/08,hamster
Atenolol,Lake Erie Medical DBA Quality Care Products LLC,2017/05/09,bird
"Arnica 30c, Belladonna 30c,Hyoscyamus 30c, Lachesis 30c, Nux Moschata 30c, Silicea 30c, Sepia 30c, Stramonium 30c, Sulphur 30c, Veratrum Album 30c",Home Sweet Homeopathics,2019/11/01,snake
"Aralia quinquefolia, Hydrocotyle asiatica, Polygonum multiflorum, Hypothalamus, Pituitarum posterium, Germanium sesquioxide, Pineal,",Apotheca Company,2018/12/21,lizard
TRIAMCINOLONE ACETONIDE,REMEDYREPACK INC.,2019/01/21,snake
Clemastine fumarate,Cardinal Health,2017/11/22,dog
MANGANESE,Natural Health Supply,2020/05/01,snake
"vitamin/mineral supplement with magnesium carbonate, calcium carbonate and folic acid","Nephro-Tech, Inc.",2018/09/22,lizard
Amoxicillin,"PD-Rx Pharmaceuticals, Inc.",2019/01/14,lizard
Levetiracetam,Aidarex Pharmaceuticals LLC,2017/03/27,cat
"ZINC OXIDE, TITANIUM DIOXIDE",RADICAL BEAUTY USA INC,2017/07/20,snake
Dexamethasone,"Physicians Total Care, Inc.",2017/07/10,snake
carbamazepine,"Golden State Medical Supply, Inc.",2019/04/15,hamster
"Acetaminophen, Diphenhydramine HCl","Salado Sales, Inc.",2019/09/01,bird
Formica Apis,Uriel Pharmacy Inc.,2020/05/24,lizard
Sodium Monofluorophosphate,"Kareway Product, Inc.",2019/06/26,lizard
eculizumab,Alexion Pharmaceuticals Inc.,2018/02/02,dog
"Baptisia tinctoria, Echinacea, Phytolacca decandra, Aconitum napellus, Arsenicum album, Belladonna, Ferrum phosphoricum, Lachesis mutus, Phosphorus,",Apotheca Company,2019/01/10,cat
olmesartan medoxomil,REMEDYREPACK INC.,2018/05/15,dog
Ergocalciferol,Clinical Solutions Wholesale,2018/06/10,dog
Medicated Callus Removers,CVS Pharmacy,2018/07/02,hamster
DOXYCYCLINE HYCLATE,Pfizer Laboratories Div Pfizer Inc,2019/06/19,snake
"Famotidine, Calcium Carbonate, Magnesium Hydroxide",HyVee Inc,2019/01/16,bird
Karaya Gum,"Nelco Laboratories, Inc.",2019/09/24,snake
Nicotine Polacrilex,American Sales Company,2017/02/19,lizard
Diltiazem Hydrochloride,American Health Packaging,2018/03/23,cat
Food Sensitivity Remedy,Homeocare Laboratories,2020/01/18,bird
Atomoxetine hydrochloride,Eli Lilly and Company,2019/06/23,lizard
"Artemisia Vulgaris, Filix Mas, Cina, Melilotus Officinalis,",Apotheca Company,2018/03/02,snake
AZITHROMYCIN,REMEDYREPACK INC.,2017/01/06,cat
Hydromorphone Hydrochloride,Lake Erie Medical DBA Quality Care Products LLC,2017/07/13,cat
OCTINOXATE,"SHISEIDO CO., LTD.",2017/12/29,hamster
BENZALKONIUM CHLORIDE,Ed Hardy Habit,2017/03/28,snake
not applicable,"Weight Loss Products, LLC",2016/12/08,lizard
"OYSTER SHELL CALCIUM CARBONATE, CRUDE, GOLDENSEAL, POTASSIUM DICHROMATE, and PULSATILLA VULGARIS",Hyland's,2016/12/09,cat
diphenhydramine hydrochloride,Rebel Distributors Corp,2019/06/23,snake
Menthol,"Lofthouse of Fleetwood, Ltd.",2018/04/25,hamster
pioglitazone and metformin hydrochloride,"AvKARE, Inc.",2019/10/17,lizard
BENZOYL PEROXIDE,Perrigo New York Inc,2019/09/12,bird
NITROGLYCERIN,"Hospira, Inc.",2019/07/29,lizard
Sodium Fluoride,"Dharma Research, inc.",2019/11/13,hamster
Ziprasidone HCl,Apotex Corp.,2018/10/27,cat
Mineral Oil,Nova Petroleum & Chemicals Corporation,2017/09/22,bird
Capsaicin and Menthol,Health Care Products,2016/11/13,lizard
Oxaprozin,"Dispensing Solutions, Inc.",2018/06/03,hamster
benzalkonium chloride,Henry Schein Inc.,2017/11/18,hamster
Tetrahydrozoline HCI,"New World Imports, Inc",2016/12/27,cat
GENTAMICIN SULFATE,Cardinal Health,2019/10/13,lizard
Diclofenac Sodium,Unit Dose Services,2019/03/14,snake
Anticoagulant Citrate Phosphate Dextrose Adenine,"Fenwal, Inc.",2017/05/04,hamster
Aluminum Chlorohydrate,"Idelle Labs, Ltd",2020/04/25,dog
Penicillin V Potassium,Unit Dose Services,2020/04/25,snake
Lidocaine,"BioChemics, Inc",2019/01/11,cat
Levothyroxine Sodium,REMEDYREPACK INC.,2017/08/07,snake
Acetaminophen,Topco Associates LLC,2019/09/25,snake
".beta.-carotene, cholecalciferol, ascorbic acid, .alpha.-tocopherol acetate, dl-, folic acid, thiamine mononitrate, riboflavin, pyridoxine hydrochloride, cyanocobalamin, niacinamide, calcium carbonate, ferrous fumarate, magnesium oxide, zinc oxide, cupric oxide and doconexent","Acella Pharmaceuticals, LLC",2018/01/14,dog
Saline,McKesson,2017/07/13,hamster
cefuroxime,Covis Pharmaceuticals Inc,2017/06/19,lizard
valsartan,Sandoz Inc,2018/02/20,hamster
"TITANIUM DIOXIDE, ZINC OXIDE",CLINIQUE LABORATORIES INC.,2020/02/09,cat
Alcohol,INNOVATION SPECIALTIES,2019/01/12,hamster
Loratadine,Walgreen Company,2017/04/21,lizard
Carisoprodol,Lake Erie Medical DBA Quality Care Products LLC,2017/07/29,hamster
"Hypericum perforatum, Ledum palustre, Latrodectus mactans,",Deseret Biologicals,2020/04/19,lizard
penicillin G benzathine,Pfizer Laboratories Div Pfizer Inc,2018/03/04,bird
TITANIUM DIOXIDE,Laboratoires Clarins S.A.,2018/07/14,lizard
"Octinoxate, Avobenzone, and Octisalate","Lifetech Resources, LLC",2018/04/07,lizard
Nortriptyline Hydrochloride,Bryant Ranch Prepack,2018/08/21,dog
Prednisolone Acetate,"Taro Pharmaceuticals U.S.A., Inc.",2017/03/27,bird
Dimenhydrinate,McKesson (Sunmark),2016/11/05,dog
Midodrine Hydrochloride,"NCS HealthCare of KY, Inc dba Vangard Labs",2019/12/05,bird
Mineral Oil,Kroger,2017/05/04,lizard
METFORMIN HYDROCHLORIDE,"Preferred Pharmaceuticals, Inc.",2018/12/17,lizard
telmisartan,Mylan Pharmaceuticals Inc.,2018/09/05,dog
Tretinoin,Valeant Pharmaceuticals North America LLC,2018/02/21,cat
Lorazepam,Major Pharmaceuticals,2018/03/25,snake
Povidone-Iodine Sponge,"Aplicare, Inc.",2018/10/21,hamster
NEUROSPORA INTERMEDIA,"ALK-Abello, Inc.",2020/02/18,bird
Levetiracetam,BluePoint Laboratories,2019/06/25,snake
amlodipine besylate and benazepril hydrochloride,Clinical Solutions Wholesale,2017/07/16,hamster
Flavoxate hydrochloride,"Physicians Total Care, Inc.",2019/02/25,snake
